Atualizado em: 2025-08-28
"Aeroporto_Origem_Designador_OACI";"Aeroporto_Origem_Nome_UF_Pais ";"Aeroporto_Destino_Designador_OACI";"Aeroporto_Destino_Nome_UF_Pais";"Etapas_Previstas";"Percentuais_de_Cancelamentos";"Percentuais_de_Atrasos_superiores_a_30_minutos";"Percentuais_de_Atrasos_superiores_a_60_minutos"
"CYUL";"MONTRÉAL-PIERRE ELLIOTT TRUDEAU INTERNATIONAL AIRPORT(CANADÁ)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"18";"0";"5,56";"0"
"CYYZ";"TORONTO PEARSON INTERNATIONAL AIRPORT(CANADÁ)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"32,26";"9,68"
"DNMM";"MURTALA MOHAMMED INTERNATIONAL AIRPORT(NIGÉRIA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"3";"0";"33,33";"33,33"
"EDDF";"FRANKFURT INTERNATIONAL AIRPORT(ALEMANHA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"13";"0";"15,38";"0"
"EDDF";"FRANKFURT INTERNATIONAL AIRPORT(ALEMANHA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"62";"0";"9,68";"6,45"
"EGLL";"LONDON HEATHROW AIRPORT(REINO UNIDO)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"0";"3,23";"3,23"
"EGLL";"LONDON HEATHROW AIRPORT(REINO UNIDO)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"62";"0";"8,06";"3,23"
"EHAM";"AMSTERDAM AIRPORT SCHIPHOL(HOLANDA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"3,23";"13,33";"3,33"
"EHAM";"AMSTERDAM AIRPORT SCHIPHOL(HOLANDA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"3,23";"10";"6,67"
"FACT";"CAPE TOWN INTERNATIONAL AIRPORT(ÁFRICA DO SUL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"9";"0";"22,22";"11,11"
"FAOR";"OR TAMBO INTERNATIONAL AIRPORT(ÁFRICA DO SUL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"27";"3,7";"15,38";"7,69"
"FNLU";"QUATRO DE FEVEREIRO AIRPORT(ANGOLA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"17";"0";"35,29";"17,65"
"HAAB";"BOLE INTERNATIONAL AIRPORT(ETIÓPIA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"9,68";"3,23"
"KATL";"HARTSFIELD JACKSON ATLANTA INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"18";"0";"33,33";"11,11"
"KATL";"HARTSFIELD JACKSON ATLANTA INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"62";"0";"24,19";"16,13"
"KBOS";"LOGAN INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"17";"0";"11,76";"5,88"
"KDFW";"DALLAS-FORT WORTH INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"3,23";"46,67";"36,67"
"KEWR";"NEWARK LIBERTY INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"54,84";"32,26"
"KFLL";"FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"17";"0";"0";"0"
"KFLL";"FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"14";"0";"0";"0"
"KFLL";"FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"4";"0";"0";"0"
"KFLL";"FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBKP";"VIRACOPOS(SP, BRASIL)";"33";"0";"6,06";"3,03"
"KFLL";"FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"TNCC";"HATO INTERNATIONAL AIRPORT(CURAÇAO)";"18";"0";"0";"0"
"KIAD";"WASHINGTON DULLES INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"64,52";"45,16"
"KIAH";"GEORGE BUSH INTERCONTINENTAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"0";"45,16";"35,48"
"KIAH";"GEORGE BUSH INTERCONTINENTAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"3,23";"53,33";"33,33"
"KJFK";"JOHN F. KENNEDY INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"93";"2,15";"26,37";"15,38"
"KLAX";"LOS ANGELES INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"17";"0";"0";"0"
"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"31";"0";"3,23";"3,23"
"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"9";"11,11";"12,5";"12,5"
"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"5";"0";"0";"0"
"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"40";"0";"22,5";"7,5"
"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBKP";"VIRACOPOS(SP, BRASIL)";"39";"5,13";"27,03";"10,81"
"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"9";"0";"66,67";"11,11"
"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"9";"0";"0";"0"
"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"44";"0";"2,27";"0"
"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"9";"0";"0";"0"
"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"18";"0";"11,11";"11,11"
"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"0";"29,03";"12,9"
"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"124";"0,81";"21,14";"8,94"
"KORD";"O´HARE INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"67,74";"48,39"
"LEBL";"BARCELONA-EL PRAT AIRPORT(ESPANHA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"26";"0";"3,85";"3,85"
"LEMD";"ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT(ESPANHA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"21";"0";"0";"0"
"LEMD";"ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT(ESPANHA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"168";"0,6";"20,36";"9,58"
"LEMD";"ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT(ESPANHA)";"SBKP";"VIRACOPOS(SP, BRASIL)";"23";"0";"100";"52,17"
"LEMD";"ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT(ESPANHA)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"13";"0";"15,38";"7,69"
"LEMD";"ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT(ESPANHA)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"17";"0";"5,88";"0"
"LEMD";"ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT(ESPANHA)";"ZBAA";"BEIJING CAPITAL INTERNATIONAL AIRPORT(CHINA)";"14";"0";"0";"0"
"LFPG";"PARIS-CHARLES DE GAULLE AIRPORT (ROISSY AIRPORT)(FRANÇA)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"13";"0";"100";"100"
"LFPG";"PARIS-CHARLES DE GAULLE AIRPORT (ROISSY AIRPORT)(FRANÇA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"3,23";"13,33";"10"
"LFPG";"PARIS-CHARLES DE GAULLE AIRPORT (ROISSY AIRPORT)(FRANÇA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"93";"0";"12,9";"6,45"
"LFPG";"PARIS-CHARLES DE GAULLE AIRPORT (ROISSY AIRPORT)(FRANÇA)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"13";"0";"7,69";"7,69"
"LFPO";"PARIS ORLY AIRPORT(FRANÇA)";"SBKP";"VIRACOPOS(SP, BRASIL)";"31";"0";"12,9";"3,23"
"LIMC";"MALPENSA INTERNATIONAL AIRPORT(ITÁLIA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"29,03";"3,23"
"LIRF";"LEONARDO DA VINCI INTERNATIONAL AIRPORT (FIUMICINO INTERNATIONAL AIRPORT)(ITÁLIA)";"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"40";"100";"0";"0"
"LIRF";"LEONARDO DA VINCI INTERNATIONAL AIRPORT (FIUMICINO INTERNATIONAL AIRPORT)(ITÁLIA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"3,23";"16,67";"3,33"
"LIRF";"LEONARDO DA VINCI INTERNATIONAL AIRPORT (FIUMICINO INTERNATIONAL AIRPORT)(ITÁLIA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"88";"1,14";"20,69";"9,2"
"LPPR";"PORTO(PORTUGAL)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"8";"12,5";"14,29";"0"
"LPPR";"PORTO(PORTUGAL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"14";"0";"21,43";"14,29"
"LPPR";"PORTO(PORTUGAL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"13";"7,69";"41,67";"16,67"
"LPPR";"PORTO(PORTUGAL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"9";"0";"11,11";"11,11"
"LPPT";"LISBOA(PORTUGAL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"27";"0";"33,33";"7,41"
"LPPT";"LISBOA(PORTUGAL)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"31";"0";"32,26";"9,68"
"LPPT";"LISBOA(PORTUGAL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"31";"0";"32,26";"6,45"
"LPPT";"LISBOA(PORTUGAL)";"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"13";"0";"15,38";"7,69"
"LPPT";"LISBOA(PORTUGAL)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"35";"0";"17,14";"5,71"
"LPPT";"LISBOA(PORTUGAL)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"53";"0";"24,53";"15,09"
"LPPT";"LISBOA(PORTUGAL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"124";"0";"32,26";"16,94"
"LPPT";"LISBOA(PORTUGAL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"52";"3,85";"26";"10"
"LPPT";"LISBOA(PORTUGAL)";"SBPA";"SALGADO FILHO(RS, BRASIL)";"14";"0";"42,86";"14,29"
"LPPT";"LISBOA(PORTUGAL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"53";"0";"30,19";"15,09"
"LPPT";"LISBOA(PORTUGAL)";"SBSG";"GOVERNADOR ALUIZIO ALVES(RN, BRASIL)";"26";"3,85";"24";"8"
"LPPT";"LISBOA(PORTUGAL)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"31";"0";"51,61";"19,35"
"LSZH";"ZÜRICH AIRPORT (KLOTEN AIRPORT)(SUÍÇA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"6,45";"6,9";"0"
"LTFM";"ISTANBUL AIRPORT(TURQUIA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"49";"0";"24,49";"10,2"
"MDPC";"PUNTA CANA(REPÚBLICA DOMINICANA)";"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"40";"100";"0";"0"
"MDPC";"PUNTA CANA(REPÚBLICA DOMINICANA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"49";"4,08";"2,13";"2,13"
"MMMX";"BENITO JUAREZ INTL(MÉXICO)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"62";"1,61";"3,28";"0"
"MMUN";"CANCUN/INTL (MÉXICO)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"14";"0";"0";"0"
"MPTO";"TOCUMEN INTL(PANAMÁ)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"31";"0";"0";"0"
"MPTO";"TOCUMEN INTL(PANAMÁ)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"31";"0";"0";"0"
"MPTO";"TOCUMEN INTL(PANAMÁ)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"27";"0";"3,7";"0"
"MPTO";"TOCUMEN INTL(PANAMÁ)";"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"22";"0";"4,55";"0"
"MPTO";"TOCUMEN INTL(PANAMÁ)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"76";"0";"3,95";"3,95"
"MPTO";"TOCUMEN INTL(PANAMÁ)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"155";"0";"7,1";"3,87"
"MPTO";"TOCUMEN INTL(PANAMÁ)";"SBPA";"SALGADO FILHO(RS, BRASIL)";"31";"0";"0";"0"
"MROC";"SAN JOSE/JUAN SANTAMARIA(COSTA RICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"14";"0";"14,29";"14,29"
"OMDB";"DUBAI(EMIRADOS ÁRABES UNIDOS)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"21";"0";"0";"0"
"OMDB";"DUBAI(EMIRADOS ÁRABES UNIDOS)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"12,9";"0"
"OTHH";"HAMAD INTERNATIONAL AIRPORT(QATAR)";"DNMM";"MURTALA MOHAMMED INTERNATIONAL AIRPORT(NIGÉRIA)";"3";"100";"0";"0"
"OTHH";"HAMAD INTERNATIONAL AIRPORT(QATAR)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"82";"3,66";"5,06";"5,06"
"SAAR";"ROSARIO - ISLAS MALVINAS INTERNATIONAL AIRPORT(ARGENTINA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"18";"0";"5,56";"5,56"
"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"21";"0";"9,52";"4,76"
"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"9";"0";"11,11";"0"
"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"SBCT";"AFONSO PENA(PR, BRASIL)";"17";"0";"11,76";"5,88"
"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"46";"2,17";"8,89";"4,44"
"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"4";"0";"0";"0"
"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"276";"0,72";"11,31";"4,74"
"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"452";"3,1";"12,1";"5,48"
"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"SBPA";"SALGADO FILHO(RS, BRASIL)";"31";"3,23";"13,33";"6,67"
"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"SBPS";"PORTO SEGURO(BA, BRASIL)";"7";"0";"0";"0"
"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"9";"0";"11,11";"0"
"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"SBSG";"GOVERNADOR ALUIZIO ALVES(RN, BRASIL)";"4";"0";"0";"0"
"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"28";"3,57";"7,41";"3,7"
"SACO";"INGENIERO AMBROSIO L.V. TARAVELLA INTERNATIONAL AIRPORT(ARGENTINA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"39";"2,56";"10,53";"2,63"
"SACO";"INGENIERO AMBROSIO L.V. TARAVELLA INTERNATIONAL AIRPORT(ARGENTINA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"14";"0";"0";"0"
"SACO";"INGENIERO AMBROSIO L.V. TARAVELLA INTERNATIONAL AIRPORT(ARGENTINA)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"4";"0";"0";"0"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"LEBL";"BARCELONA-EL PRAT AIRPORT(ESPANHA)";"31";"100";"0";"0"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"LEMD";"ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT(ESPANHA)";"62";"100";"0";"0"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"MDPC";"PUNTA CANA(REPÚBLICA DOMINICANA)";"40";"100";"0";"0"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"10";"0";"10";"10"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"14";"0";"7,14";"0"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"4";"0";"0";"0"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"215";"3,72";"7,73";"3,38"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"119";"2,52";"11,21";"5,17"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"SBJP";"PRESIDENTE CASTRO PINTO(PB, BRASIL)";"4";"0";"0";"0"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"SBMO";"ZUMBI DOS PALMARES(AL, BRASIL)";"4";"0";"0";"0"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"SBPS";"PORTO SEGURO(BA, BRASIL)";"4";"0";"25";"25"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"18";"0";"5,56";"5,56"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"SBSG";"GOVERNADOR ALUIZIO ALVES(RN, BRASIL)";"9";"0";"22,22";"11,11"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"9";"0";"11,11";"11,11"
"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"9";"0";"11,11";"0"
"SAME";"GOVERNOR FRANCISCO GABRIELLI INTERNATIONAL AIRPORT (EL PLUMERILLO INT´L)(ARGENTINA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"8";"0";"12,5";"12,5"
"SAME";"GOVERNOR FRANCISCO GABRIELLI INTERNATIONAL AIRPORT (EL PLUMERILLO INT´L)(ARGENTINA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"50";"0";"16";"2"
"SAME";"GOVERNOR FRANCISCO GABRIELLI INTERNATIONAL AIRPORT (EL PLUMERILLO INT´L)(ARGENTINA)";"SBKP";"VIRACOPOS(SP, BRASIL)";"13";"0";"7,69";"7,69"
"SASA";"MARTÍN MIGUEL DE GÜEMES INTERNATIONAL AIRPORT (EL AYBAL AIRPORT)(ARGENTINA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"4";"0";"0";"0"
"SAZS";"SAN CARLOS DE BARILOCHE AIRPORT(ARGENTINA)";"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"3";"0";"0";"0"
"SAZS";"SAN CARLOS DE BARILOCHE AIRPORT(ARGENTINA)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"9";"0";"11,11";"0"
